source,Gaia_id,KIC_id,logRHK,e_logRHK,Prot,Teff,BV,FeH_native,e_FeH_native,Mass,Age,tau_conv,tau_Noyes1984,Ro,log_Ro,F_Ca,F_bas,delta_F,log_dF,epsilon,log_epsilon,dTeff
Ye2024,2076659607236627200,5716461,-4.7986,0.0078,19.36,5550,0.699603,0.01,0.02,0.96,11.99,15.354869714245666,,1.260837790244389,0.10065921715741785,855428.4088463137,344560.5333574476,510867.8754888661,5.708308594135462,1.4826650937380894,0.171043063120595,-0.222
Ye2024,2076768523304406912,5726373,-4.8265,0.0122,28.38,5413,0.745991,-0.2,0.03,0.86,6.15,18.000329833835156,,1.5766377761953125,0.19773192803469627,725878.3527256572,288893.71320242377,436984.6395232334,5.640466171323869,1.512613876844888,0.1797280803318842,-0.359
Ye2024,2076778109671410688,5810714,-4.6395,0.0086,12.61,5608,0.680308,0.05,0.02,0.98,1.95,14.894693714546571,,0.8466102252028669,-0.07231649050131395,1286304.403695766,370763.04046364006,915541.363232126,5.961677970066078,2.4693436597327483,0.39258153510793037,-0.164
Ye2024,2076786596526776448,5896387,-4.5368,0.0111,10.98,5795,0.61943,-0.05,0.04,1.02,4.42,14.032847450821215,,0.7824498939705526,-0.10654346396532917,1857913.5316774324,467225.7330819069,1390687.7985955253,6.143229644323206,2.976479461912966,0.47370289021092327,0.023
Ye2024,2076798897308581248,5636407,-4.939,0.0136,17.27,5921,0.579508,-0.01,0.02,1.06,0.7,13.24184353201083,,1.3041990685248248,0.11534388569303786,802032.5255025196,543732.360007474,258300.1654950456,5.412124684429461,0.47505019839447316,-0.32326049619864206,0.149
Ye2024,2076802986117444736,5722734,-4.8682,0.0098,14.63,6015,0.550275,-0.06,0.02,1.06,1.47,13.24184353201083,,1.1048310580496925,0.04329587425088997,1005435.611262348,607590.8196722509,397844.7915900971,5.599713676841017,0.6547906563247683,-0.18389752647381985,0.243
Ye2024,2076813813743784576,5807205,-4.8802,0.0126,18.58,6226,0.486286,-0.25,0.03,1.14,5.26,11.843039123414078,,1.5688540590283728,0.19558254568600522,1122659.878131392,774772.6300459836,347887.24808540836,5.5414385098408925,0.4490185050351622,-0.34773576040190524,0.454
Ye2024,2076856591619123456,6223262,-4.7378,0.0103,6.71,6209,0.49136,0.15,0.03,1.24,2.12,10.377405303719263,,0.6465970831451611,-0.18936625885965963,1541339.740503398,759980.9424821255,781358.7980212725,5.8928505066279815,1.0281294626537951,0.012047804713799997,0.437
Ye2024,2076866109263663104,5982605,-4.7826,0.0066,16.51,5938,0.574187,-0.1,0.01,1.04,1.56,13.628989336448337,,1.211388430383969,0.08328342152771692,1162980.7056724436,554834.378000716,608146.3276717276,5.784008088572713,1.096086240840222,0.03984472608953103,0.166
Ye2024,2076874321241309568,6064684,-4.538,0.0113,6.67,5418,0.744278,-0.04,0.03,0.88,6.42,17.42033268532819,,0.3828859138618879,-0.4169306107862433,1415688.614811975,290780.28301815165,1124908.3317938233,6.0511171334534675,3.8685853116237667,0.5875521785385628,-0.354
Ye2024,2077015814643065472,6139884,-4.9422,0.0117,14.49,5683,0.655651,-0.08,0.02,0.94,4.39,15.836148205371112,,0.9149952256120878,-0.03858117204910844,675650.9018672047,407166.909043728,268483.99282347667,5.428918397910185,0.6593954146569475,-0.1808540772051637,-0.089
Ye2024,2077020899884321664,6220616,-4.7408,0.0093,2.84,6456,0.44,-0.09,0.02,1.24,1.78,10.377405303719263,,0.27367149271717695,-0.562770438981614,1789228.5667354323,1000559.2886695323,788669.2780659,5.8968949235871255,0.7882284308355304,-0.10334790449667311,0.684
Ye2024,2077050105662529408,6381167,-4.7751,0.0072,8.88,6304,0.463179,-0.02,0.02,1.32,2.51,9.386296808958306,,0.9460600043592171,-0.024081317366008652,1503060.8209463472,845851.7294111636,657209.0915351836,5.817703562639244,0.7769790717253686,-0.10959067895532208,0.532
